time,mode,event,details
2026-09-14T23:07:07.964298,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:07:19.765192,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:07:31.568718,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:08:10.913692,live,startup_discard_previous_attempt,"{""previous"": {""key"": ""signal/2026-09-14T22:54:55/952"", ""id"": ""8e8618269a134ff3851d7b291882cf6a"", ""status"": ""pending"", ""target"": -1, ""at"": ""2026-09-14T23:07:41.716300""}}"
2026-09-15T00:45:00.989694,live,submitted,"{""key"": ""signal/2026-09-15T00:44:57/954"", ""detail"": ""已送出買進 TMF 1 口委託""}"
2026-09-15T00:48:40.340754,live,submitted,"{""key"": ""signal/2026-09-15T00:48:37/955"", ""detail"": ""已送出買進 TMF 1 口委託""}"
2026-09-15T02:00:35.464577,live,submitted,"{""key"": ""signal/2026-09-15T02:00:32/956"", ""detail"": ""已送出買進 TMF 1 口委託""}"
2026-09-15T04:59:01.918627,live,no_order_needed,"{""key"": ""2026-09-15T04:59:00/flat"", ""detail"": ""查詢庫存為空手，無需送單""}"
2026-09-15T08:45:08.254666,live,submitted,"{""key"": ""signal/2026-09-15T08:45:02/957"", ""detail"": ""已送出買進 TMF 1 口委託""}"
2026-09-15T09:22:37.861968,live,submitted,"{""key"": ""signal/2026-09-15T09:22:34/958"", ""detail"": ""已送出買進 TMF 1 口委託""}"
2026-09-15T09:23:41.842951,live,submitted,"{""key"": ""signal/2026-09-15T09:23:38/959"", ""detail"": ""已送出買進 TMF 1 口委託""}"
2026-09-15T11:48:34.059073,live,alert,"{""message"": ""上次送單途中中斷，須核對券商委託及JSON部位；暫停新單""}"
2026-09-15T11:49:44.131920,live,alert,"{""message"": ""上次送單途中中斷，須核對券商委託及JSON部位；暫停新單""}"
2026-09-15T15:00:00.116058,live,alert,"{""message"": ""上次送單途中中斷，須核對券商委託及JSON部位；暫停新單""}"
2026-09-15T15:14:03.878591,live,signal_no_change,"{""signal"": ""2026-09-15T15:14:03/963"", ""strategy_code"": ""CFCCPm""}"
2026-09-15T17:52:42.444812,live,submitted,"{""key"": ""signal/2026-09-15T17:52:38/964"", ""detail"": ""已送出賣出 TMF 1 口委託""}"
2026-09-15T22:30:20.257351,live,submitted,"{""key"": ""signal/2026-09-15T22:30:16/965"", ""detail"": ""已送出賣出 TMF 1 口委託"", ""signal"": {""net_position"": -1, ""positions"": {""CFC07m"": -1, ""CFCTX17m"": 0, ""CFCTX18m"": 0, ""CFCTX19m"": 0, ""CFCTX20m"": 0, ""CFCTX21m"": 0, ""CFCWIN01m"": 0, ""CFCPW3m"": 0, ""CFCCPm"": 0, ""CFCTX16m"": 0, ""CFCTX22m"": 0, ""CFCTX23m"": 0}, ""source"": ""pure_ef_new_signals"", ""unit"": 1, ""last_signal"": ""2026-09-15T22:30:16/965"", ""strategy_code"": ""CFC07m"", ""strategy_name"": ""財神列車7號"", ""signal_previous_position"": 0, ""previous_position"": 0, ""new_position"": -1}}"
