trade_no,date,single_pnl,single_points,base_mdd_pnl,base_mdd_points,loss_streak_before,win_streak_before,post_mdd_zero_index,plan1_quantity,plan1_cum_pnl,plan1_mdd_pnl,plan2_quantity,plan2_cum_pnl,plan2_mdd_pnl,plan3_quantity,plan3_cum_pnl,plan3_mdd_pnl
154,2025-09-05,-3500.0,-350.0,-45650.0,-4565.0,2,0,0,2,275950.0,-60350.0,1,132750.0,-45650.0,2,226850.0,-46050.0
155,2025-09-05,50600.0,5060.0,0.0,0.0,3,0,0,2,377150.0,0.0,1,183350.0,0.0,2,328050.0,0.0
156,2025-09-11,4350.0,435.0,0.0,0.0,0,1,1,1,381500.0,0.0,1,187700.0,0.0,1,332400.0,0.0
157,2025-09-11,6100.0,610.0,0.0,0.0,0,2,2,1,387600.0,0.0,1,193800.0,0.0,1,338500.0,0.0
158,2025-09-17,-3750.0,-375.0,-3750.0,-375.0,0,3,3,1,383850.0,-3750.0,1,190050.0,-3750.0,1,334750.0,-3750.0
159,2025-09-17,200.0,20.0,-3550.0,-355.0,1,0,0,1,384050.0,-3550.0,1,190250.0,-3550.0,1,334950.0,-3550.0
160,2025-09-17,-5250.0,-525.0,-8800.0,-880.0,0,1,0,1,378800.0,-8800.0,1,185000.0,-8800.0,1,329700.0,-8800.0
161,2025-09-18,7900.0,790.0,-900.0,-90.0,1,0,0,1,386700.0,-900.0,1,192900.0,-900.0,1,337600.0,-900.0
162,2025-09-19,4000.0,400.0,0.0,0.0,0,1,0,1,390700.0,0.0,1,196900.0,0.0,1,341600.0,0.0
163,2025-09-19,20400.0,2040.0,0.0,0.0,0,2,1,1,411100.0,0.0,1,217300.0,0.0,1,362000.0,0.0
164,2025-09-23,-9150.0,-915.0,-9150.0,-915.0,0,3,2,1,401950.0,-9150.0,1,208150.0,-9150.0,1,352850.0,-9150.0
165,2025-09-23,-1850.0,-185.0,-11000.0,-1100.0,1,0,3,1,400100.0,-11000.0,1,206300.0,-11000.0,1,351000.0,-11000.0
166,2025-09-24,-550.0,-55.0,-11550.0,-1155.0,2,0,0,1,399550.0,-11550.0,1,205750.0,-11550.0,1,350450.0,-11550.0
167,2025-09-24,-7550.0,-755.0,-19100.0,-1910.0,3,0,0,1,392000.0,-19100.0,1,198200.0,-19100.0,1,342900.0,-19100.0
168,2025-09-25,2450.0,245.0,-16650.0,-1665.0,4,0,0,1,394450.0,-16650.0,1,200650.0,-16650.0,1,345350.0,-16650.0
169,2025-09-25,-5150.0,-515.0,-21800.0,-2180.0,0,1,0,1,389300.0,-21800.0,1,195500.0,-21800.0,1,340200.0,-21800.0
170,2025-09-25,-4200.0,-420.0,-26000.0,-2600.0,1,0,0,1,385100.0,-26000.0,1,191300.0,-26000.0,1,336000.0,-26000.0
171,2025-09-25,-6100.0,-610.0,-32100.0,-3210.0,2,0,0,1,379000.0,-32100.0,1,185200.0,-32100.0,1,329900.0,-32100.0
172,2025-09-26,7750.0,775.0,-24350.0,-2435.0,3,0,0,2,394500.0,-16600.0,1,192950.0,-24350.0,1,337650.0,-24350.0
173,2025-09-26,-2800.0,-280.0,-27150.0,-2715.0,0,1,0,2,388900.0,-22200.0,1,190150.0,-27150.0,1,334850.0,-27150.0
174,2025-09-26,-3350.0,-335.0,-30500.0,-3050.0,1,0,0,2,382200.0,-28900.0,1,186800.0,-30500.0,1,331500.0,-30500.0
175,2025-09-27,18300.0,1830.0,-12200.0,-1220.0,2,0,0,2,418800.0,0.0,1,205100.0,-12200.0,1,349800.0,-12200.0
176,2025-10-01,7500.0,750.0,-4700.0,-470.0,0,1,0,2,433800.0,0.0,1,212600.0,-4700.0,1,357300.0,-4700.0
177,2025-10-01,23200.0,2320.0,0.0,0.0,0,2,0,2,480200.0,0.0,1,235800.0,0.0,1,380500.0,0.0
178,2025-10-03,-4400.0,-440.0,-4400.0,-440.0,0,3,1,1,475800.0,-4400.0,1,231400.0,-4400.0,1,376100.0,-4400.0
179,2025-10-03,32250.0,3225.0,0.0,0.0,1,0,2,1,508050.0,0.0,1,263650.0,0.0,1,408350.0,0.0
180,2025-10-07,8400.0,840.0,0.0,0.0,0,1,1,1,516450.0,0.0,1,272050.0,0.0,1,416750.0,0.0
181,2025-10-08,15300.0,1530.0,0.0,0.0,0,2,2,1,531750.0,0.0,1,287350.0,0.0,1,432050.0,0.0
182,2025-10-09,-1800.0,-180.0,-1800.0,-180.0,0,3,3,1,529950.0,-1800.0,1,285550.0,-1800.0,1,430250.0,-1800.0
183,2025-10-09,-5400.0,-540.0,-7200.0,-720.0,1,0,0,1,524550.0,-7200.0,1,280150.0,-7200.0,1,424850.0,-7200.0
184,2025-10-14,26600.0,2660.0,0.0,0.0,2,0,0,1,551150.0,0.0,1,306750.0,0.0,1,451450.0,0.0
185,2025-10-14,5950.0,595.0,0.0,0.0,0,1,1,1,557100.0,0.0,1,312700.0,0.0,1,457400.0,0.0
186,2025-10-15,-7750.0,-775.0,-7750.0,-775.0,0,2,2,1,549350.0,-7750.0,1,304950.0,-7750.0,1,449650.0,-7750.0
187,2025-10-15,15150.0,1515.0,0.0,0.0,1,0,3,1,564500.0,0.0,1,320100.0,0.0,1,464800.0,0.0
188,2025-10-16,-9350.0,-935.0,-9350.0,-935.0,0,1,1,1,555150.0,-9350.0,1,310750.0,-9350.0,1,455450.0,-9350.0
189,2025-10-16,1950.0,195.0,-7400.0,-740.0,1,0,2,1,557100.0,-7400.0,1,312700.0,-7400.0,1,457400.0,-7400.0
190,2025-10-16,-4700.0,-470.0,-12100.0,-1210.0,0,1,3,1,552400.0,-12100.0,1,308000.0,-12100.0,1,452700.0,-12100.0
191,2025-10-16,-1800.0,-180.0,-13900.0,-1390.0,1,0,0,1,550600.0,-13900.0,1,306200.0,-13900.0,1,450900.0,-13900.0
192,2025-10-17,6300.0,630.0,-7600.0,-760.0,2,0,0,1,556900.0,-7600.0,1,312500.0,-7600.0,1,457200.0,-7600.0
193,2025-10-17,-3500.0,-350.0,-11100.0,-1110.0,0,1,0,1,553400.0,-11100.0,1,309000.0,-11100.0,1,453700.0,-11100.0
194,2025-10-17,11600.0,1160.0,0.0,0.0,1,0,0,1,565000.0,0.0,1,320600.0,0.0,1,465300.0,0.0
195,2025-10-17,37500.0,3750.0,0.0,0.0,0,1,1,1,602500.0,0.0,1,358100.0,0.0,1,502800.0,0.0
196,2025-10-21,2100.0,210.0,0.0,0.0,0,2,2,1,604600.0,0.0,1,360200.0,0.0,1,504900.0,0.0
197,2025-10-21,-4650.0,-465.0,-4650.0,-465.0,0,3,3,1,599950.0,-4650.0,1,355550.0,-4650.0,1,500250.0,-4650.0
198,2025-10-21,-4800.0,-480.0,-9450.0,-945.0,1,0,0,1,595150.0,-9450.0,1,350750.0,-9450.0,1,495450.0,-9450.0
199,2025-10-21,-6800.0,-680.0,-16250.0,-1625.0,2,0,0,1,588350.0,-16250.0,1,343950.0,-16250.0,1,488650.0,-16250.0
