timestamp,strategy,result,signal_action,order_action,side,quantity,contract_code,h_position_timestamp,h_side,h_entry_price,h_unrealized_points,signal_reason,broker_status,broker_order_id,broker_message,broker_trade,error
2026-06-10 19:39:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1090.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:40:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1134.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:41:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1087.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:42:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1131.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:43:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1128.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:44:03,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1061.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:45:07,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1095.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:46:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1123.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:47:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1110.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:48:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1079.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
