Record Time,Symbol,Timeframe,TradingView Time,Open,High,Low,Close,MA_960,MA_P80,MA_P200,MA_N110,MA_N200,tt_short,tt_long,BBR
2026-05-01 02:45:04,MXF1!,15,2026-05-01 02:30:00,40034,40073,40034,40060,39699.3552083333,39779.3552083333,39899.3552083333,39589.3552083333,39499.3552083333,39769.4771586891,39671.333447197,0.8967081362
2026-05-01 03:00:09,MXF1!,15,2026-05-01 02:45:00,40058,40083,40053,40060,39706.490625,39786.490625,39906.490625,39596.490625,39506.490625,39780.8702112896,39679.0298145793,0.8958487377
2026-05-01 03:15:05,MXF1!,15,2026-05-01 03:00:00,40061,40166,40053,40152,39713.30625,39793.30625,39913.30625,39603.30625,39513.30625,39795.4243206508,39688.3955608252,0.9163937382
2026-05-01 03:30:01,MXF1!,15,2026-05-01 03:15:00,40153,40153,40108,40132,39718.9927083333,39798.9927083333,39918.9927083333,39608.9927083333,39518.9927083333,39808.6233668997,39697.1798071455,0.9108040498
2026-05-01 03:45:04,MXF1!,15,2026-05-01 03:30:00,40128,40194,40125,40171,39726.9770833333,39806.9770833333,39926.9770833333,39616.9770833333,39526.9770833333,39822.8342152566,39706.5623852218,0.9189569796
2026-05-01 04:00:02,MXF1!,15,2026-05-01 03:45:00,40174,40234,40118,40118,39736.8375,39816.8375,39936.8375,39626.8375,39536.8375,39834.4093440701,39714.7096647224,0.9056906229
2026-05-01 04:15:03,MXF1!,15,2026-05-01 04:00:00,40117,40177,40053,40121,39746.4666666667,39826.4666666667,39946.4666666667,39636.4666666667,39546.4666666667,39845.6481933222,39722.7550178962,0.9054924211
2026-05-01 04:30:01,MXF1!,15,2026-05-01 04:15:00,40128,40152,40109,40124,39755.6604166667,39835.6604166667,39955.6604166667,39645.6604166667,39555.6604166667,39856.5639504469,39730.7004630864,0.9052918155
2026-05-01 04:45:00,MXF1!,15,2026-05-01 04:30:00,40122,40125,40020,40030,39764.2447916667,39844.2447916667,39964.2447916667,39654.2447916667,39564.2447916667,39863.3653641548,39736.6271865896,0.8825686482
2026-05-01 05:01:01,MXF1!,15,2026-05-01 04:45:00,40034,40099,39968,40094,39771.4729166667,39851.4729166667,39971.4729166667,39661.4729166667,39571.4729166667,39872.4098596782,39743.7038759641,0.8966483344
